doc_id,dominant_topic,top_topic_prob,margin,entropy
0,0,0.5870843529701233,0.4177231639623642,1.2729856376784265
1,4,0.4061118960380554,0.1333560049533844,1.6309673412961396
2,13,0.3474729061126709,0.03670588135719299,1.555042190610449
3,12,0.310664564371109,0.0328446626663208,1.482847319957867
4,11,0.528627336025238,0.2802426517009735,1.3466916344141446
5,4,0.38870736956596375,0.17839202284812927,1.4966345182855054
6,6,0.2592583894729614,0.028033748269081116,1.7417259434841637
7,14,0.4173639118671417,0.09326112270355225,1.2820245617441655
8,12,0.5355123281478882,0.39585408568382263,1.4503442468973562
9,3,0.30554816126823425,0.15586742758750916,1.9896588565854754
10,12,0.5259854793548584,0.08161583542823792,0.8587341868559611
11,7,0.4532734453678131,0.22219353914260864,1.3924042122021634
12,10,0.2703237533569336,0.059934452176094055,1.7713950173168096
13,12,0.32702791690826416,0.006900995969772339,1.52936416171232
14,5,0.19275972247123718,0.024024993181228638,2.070926381299442
15,12,0.26300403475761414,0.0064872801303863525,1.6687668931177775
16,14,0.4063464403152466,0.12183535099029541,1.3928901264936306
17,14,0.8125544786453247,0.7256430014967918,0.7096521582466286
18,6,0.5191407203674316,0.1999208927154541,1.1668452190740002
19,11,0.3101980984210968,0.026965558528900146,1.5337402400318016
20,3,0.7412607669830322,0.5675383359193802,0.8410205242395984
21,11,0.3696451783180237,0.10457965731620789,1.4804229919157401
22,14,0.757806658744812,0.6638785973191261,0.8816738942591757
23,7,0.3018764555454254,0.09121094644069672,1.6487284646566325
24,1,0.5083667039871216,0.21621054410934448,1.1908173167896445
25,9,0.5079739689826965,0.20668405294418335,1.2235752722138844
26,14,0.4402094781398773,0.18338686227798462,1.3772061417594268
27,10,0.24632567167282104,0.018237769603729248,1.8637636961528414
28,11,0.44833141565322876,0.07542669773101807,1.2462379757977422
29,1,0.4316675662994385,0.2257441133260727,1.6842241433392986
30,5,0.3917873203754425,0.14607343077659607,1.5562932633410387
31,2,0.43110552430152893,0.3226046785712242,1.8364881239729802
32,14,0.5014933943748474,0.20774108171463013,1.2549774275786592
33,13,0.46786510944366455,0.1543358862400055,1.3218888043928396
